city,year,population
sj,2022,2443000
sj,2021,2445000
sj,2020,2448000
sj,2019,2451000
sj,2018,2454000
sj,2017,2457000
sj,2016,2460000
sj,2015,2463000
sj,2014,2466000
sj,2013,2469000
sj,2012,2472000
sj,2011,2475000
sj,2010,2478000
sj,2009,2481000
sj,2008,2484000
sj,2007,2487000
sj,2006,2490000
sj,2005,2493000
sj,2004,2496000
sj,2003,2499000
sj,2002,2502000
sj,2001,2505000
sj,2000,2508000
sj,1999,2494000
sj,1998,2475000
sj,1997,2456000
sj,1996,2437000
sj,1995,2418000
sj,1994,2400000
sj,1993,2381000
sj,1992,2363000
sj,1991,2345000
sj,1990,2327000
